ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
7,"$40,000-$44,999",2017,"2017",2054,293,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04322026765423786
15,"$200,000+",2017,"2017",4135,318,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.08700866930393064
14,"$150,000-$199,999",2017,"2017",3766,362,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.07924417136604663
1,"$10,000-$14,999",2017,"2017",5768114,16409,"United States","01000US","united-states",0.04854255663627467
13,"$125,000-$149,999",2017,"2017",2552,254,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.05369918357040653
2,"$15,000-$19,999",2017,"2017",5727180,16801,"United States","01000US","united-states",0.04819806951043956
12,"$100,000-$124,999",2017,"2017",4531,410,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.0953413012372696
3,"$20,000-$24,999",2017,"2017",5910725,17864,"United States","01000US","united-states",0.04974272406438996
11,"$75,000-$99,999",2017,"2017",5394,424,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.11350054709199563
4,"$25,000-$29,999",2017,"2017",5619002,16113.000000000002,"United States","01000US","united-states",0.04728767892318714
10,"$60,000-$74,999",2017,"2017",3792,332,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.07979126336166989
5,"$30,000-$34,999",2017,"2017",5711286,15891,"United States","01000US","united-states",0.04806431081649264
9,"$50,000-$59,999",2017,"2017",3624,379,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.07625620738995034
6,"$35,000-$39,999",2017,"2017",5332778,16488,"United States","01000US","united-states",0.044878911563412165
8,"$45,000-$49,999",2017,"2017",1660,210,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.03492971972056224
7,"$40,000-$44,999",2017,"2017",5354520,15415.000000000002,"United States","01000US","united-states",0.04506188510838473
0,"< $10,000",2017,"2017",7942251,17662,"United States","01000US","united-states",0.06683938094618261
8,"$45,000-$49,999",2017,"2017",4725195,16890,"United States","01000US","united-states",0.03976569220111494
6,"$35,000-$39,999",2017,"2017",1625,319,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.034193249726454
9,"$50,000-$59,999",2017,"2017",9181800,20965,"United States","01000US","united-states",0.07727101900602984
5,"$30,000-$34,999",2017,"2017",1794,240.00000000000003,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.03774934769800522
10,"$60,000-$74,999",2017,"2017",11818514,30722.999999999996,"United States","01000US","united-states",0.0994607397152007
4,"$25,000-$29,999",2017,"2017",2087,295,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04391465364868277
11,"$75,000-$99,999",2017,"2017",14636046,49159,"United States","01000US","united-states",0.12317216544023252
3,"$20,000-$24,999",2017,"2017",1901,255,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.040000841679993265
12,"$100,000-$124,999",2017,"2017",10273788,47842,"United States","01000US","united-states",0.08646083206037174
2,"$15,000-$19,999",2017,"2017",1916,285,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04031647167746823
13,"$125,000-$149,999",2017,"2017",6428069,37952,"United States","01000US","united-states",0.054096521583030695
1,"$10,000-$14,999",2017,"2017",2063,283,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04340964565272284
14,"$150,000-$199,999",2017,"2017",6931136,37236,"United States","01000US","united-states",0.05833016854967192
0,"< $10,000",2017,"2017",4630,431,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.09742445922060433
15,"$200,000+",2017,"2017",7465517,42206,"United States","01000US","united-states",0.06282734387558418
0,"< $10,000",2016,"2016",8243664,18695,"United States","01000US","united-states",0.07002996536493092
7,"$40,000-$44,999",2016,"2016",2254,313,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04770572299356587
8,"$45,000-$49,999",2016,"2016",4775997,15270.999999999998,"United States","01000US","united-states",0.04057211750661041
